location,campaign_website_url,electoral_position,candidate_position,candidate_history,election_result,election_type,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,race_funding,candidate_funding,funding_share,contacted,error-type_label_pre,error-type_color-contrast_pre,error-type_duplicate-id_pre,error-type_heading-order_pre,error-type_button-name_pre,error-type_link-name_pre,number_of_pages_pre,number_of_total_errors_pre,number_of_critical_errors_pre,number_of_serious_errors_pre,number_of_moderate_errors_pre,number_of_minor_errors_pre,error-type_label_post,error-type_color-contrast_post,error-type_duplicate-id_post,error-type_heading-order_post,error-type_button-name_post,error-type_link-name_post,number_of_pages_post,number_of_total_errors_post,number_of_critical_errors_post,number_of_serious_errors_post,number_of_moderate_errors_post,number_of_minor_errors_post,number_of_words,number_of_unique_words,ease_of_reading,error-type_aria-allowed-role_pre,error-type_frame-title_pre,error-type_landmark-no-duplicate-banner_pre,error-type_region_pre,error-type_page-has-heading-one_pre,error-type_duplicate-id-aria_pre,error-type_empty-heading_pre,error-type_aria-valid-attr-value_pre,error-type_aria-allowed-role_post,error-type_frame-title_post,error-type_landmark-no-duplicate-banner_post,error-type_region_post,error-type_page-has-heading-one_post,error-type_duplicate-id-aria_post,error-type_empty-heading_post,error-type_aria-valid-attr-value_post,error-type_listitem_pre,error-type_aria-required-children_pre,error-type_landmark-banner-is-top-level_pre,error-type_tabindex_pre,error-type_autocomplete-valid_pre,error-type_label-title-only_pre,error-type_meta-viewport_pre,error-type_html-has-lang_pre,error-type_landmark-one-main_pre,error-type_image-redundant-alt_pre,error-type_bypass_pre,error-type_image-alt_pre,error-type_duplicate-id-active_pre,error-type_listitem_post,error-type_aria-required-children_post,error-type_image-redundant-alt_post,error-type_landmark-banner-is-top-level_post,error-type_tabindex_post,error-type_autocomplete-valid_post,error-type_label-title-only_post,error-type_meta-viewport_post,error-type_html-has-lang_post,error-type_landmark-one-main_post,error-type_image-alt_post,error-type_bypass_post,error-type_duplicate-id-active_post,error-type_checkboxgroup_pre,error-type_checkboxgroup_post,error-type_aria-valid-attr_pre,error-type_aria-valid-attr_post,error-type_aria-roles_pre,error-type_landmark-main-is-top-level_pre,error-type_aria-roles_post,error-type_landmark-main-is-top-level_post,error-type_landmark-no-duplicate-contentinfo_pre,error-type_frame-title-unique_pre,error-type_landmark-no-duplicate-contentinfo_post,error-type_frame-title-unique_post,error-type_skip-link_post,error-type_document-title_pre,error-type_document-title_post,error-type_skip-link_pre,error-type_scope-attr-valid_pre,error-type_scope-attr-valid_post,error-type_definition-list_pre,error-type_list_pre,error-type_definition-list_post,error-type_list_post,error-type_aria-allowed-attr_pre,error-type_aria-allowed-attr_post
"New Orleans, LA",https://www.teamrellaz.com/,Council,Challenger,Never-Held-Office,Lost,General,13228,1884,0.1424251588,,,#DIV/0!,Contacted,23.0,,,1.0,,47.0,22,202,58,91,31,22,23.0,,,1.0,,47.0,22,202,58,91,31,22,0,0,0.0,22.0,11.0,,18.0,12.0,,,,22.0,11.0,,18.0,12.0,,,,,,,22.0,,,,,,,,35.0,7.0,,,,,22.0,,,,,,35.0,,7.0,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,
"New Orleans, LA",https://rizewithroz.com/,Council,Challenger,Never-Held-Office,Lost,General,13228,598,0.04520713638,,,#DIV/0!,Contacted,,,17.0,,2.0,,5,187,17,0,5,165,,,17.0,,2.0,,5,187,17,0,5,165,0,0,0.0,148.0,,,5.0,,,,,148.0,,,5.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.stephanieforcouncil.com/,Council,Open,Never-Held-Office,Won,General,13185,2069,0.1569207433,,,#DIV/0!,Not-Contacted,,27.0,,,,,4,37,0,31,2,4,,27.0,,,,,4,37,0,31,2,4,184,19,115.72999999999999,4.0,,,,2.0,,,,4.0,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.electfreddieking.com/,Council,Open,Never-Held-Office,Won,General,13185,5804,0.4401971938,,,#DIV/0!,Contacted,1.0,2.0,,2.0,,10.0,4,22,1,12,8,1,1.0,2.0,,2.0,,10.0,4,22,1,12,8,1,1249,536,54.22,1.0,,,4.0,2.0,,,,1.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.vote4knox.com/,Council,Open,Never-Held-Office,Lost,General,13185,1477,0.1120212363,,,#DIV/0!,Contacted,2.0,3.0,,3.0,,6.0,3,17,3,9,4,1,2.0,3.0,,3.0,,6.0,3,17,3,9,4,1,830,368,42.28,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://stephenmosgrove.com/,Council,Open,Never-Held-Office,Lost,General,13185,1199,0.09093667046,,,#DIV/0!,Contacted,4.0,42.0,,22.0,,43.0,12,149,4,86,35,24,4.0,36.0,,18.0,,33.0,10,132,4,69,29,30,0,0,0.0,24.0,,,12.0,1.0,,,,30.0,,,10.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.frankperezcitycouncil.com/,Council,Open,Never-Held-Office,Lost,General,13185,1532,0.1161926432,,,#DIV/0!,Contacted,2.0,9.0,,6.0,,18.0,6,44,3,27,14,0,2.0,9.0,,6.0,,18.0,6,45,3,27,15,0,5208,1296,30.375,,,,6.0,2.0,,,,,,,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://waitersfordistrictc.com/,Council,Open,Never-Held-Office,Lost,General,13185,688,0.05218050815,,,#DIV/0!,Contacted,5.0,17.0,,,,3.0,1,36,5,20,11,0,5.0,17.0,,,,3.0,1,37,5,20,11,1,905,335,41.7,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,8.0,,,8.0,,,,,,,,
"New Orleans, LA",https://chantrissefordistrictd.com/,Council,Open,Never-Held-Office,Lost,General,16520,861,0.05211864407,,,#DIV/0!,Contacted,,6.0,,,,6.0,1,14,0,12,2,0,,6.0,,,,6.0,1,14,0,12,2,0,0,0,0.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://morganclevenger.com/,Council,Open,Never-Held-Office,Lost,General,16520,439,0.02657384988,,,#DIV/0!,Not-Contacted,14.0,38.0,32.0,2.0,,,10,131,24,46,25,36,14.0,38.0,32.0,2.0,,,10,131,24,46,25,36,517,76,64.61666666666667,4.0,,,10.0,4.0,,,1.0,4.0,,,10.0,4.0,,,1.0,,,,,,8.0,9.0,,9.0,,,,,,,,,,,8.0,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://votetroyglover.com/,Council,Open,Never-Held-Office,Won,General,16520,1979,0.1197941889,,,#DIV/0!,Contacted,2.0,1.0,,,,4.0,1,10,2,6,2,0,2.0,1.0,,,,4.0,1,10,2,6,2,0,27,23,74.69,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
"New Orleans, LA",https://voteeugenegreen.com/,Council,Open,Never-Held-Office,Won,General,16520,5836,0.3532687651,,,#DIV/0!,Contacted,,39.0,2.0,1.0,,110.0,2,156,0,149,5,2,,39.0,2.0,1.0,,110.0,2,156,0,149,5,2,2279,773,46.52,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
"New Orleans, LA",https://kevingriffinclark.com/,Council,Open,Never-Held-Office,Lost,General,16520,1494,0.09043583535,,,#DIV/0!,Contacted,,5.0,,1.0,,3.0,2,16,0,9,5,2,,5.0,,1.0,,3.0,2,16,0,9,5,2,281,180,67.57,2.0,1.0,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
"New Orleans, LA",https://www.lawesforneworleans.com/,Council,Open,Never-Held-Office,Lost,General,16520,495,0.02996368039,,,#DIV/0!,Contacted,,18.0,,1.0,,9.0,4,35,1,27,7,0,,18.0,,1.0,,9.0,4,35,1,27,7,0,240,41,73.68,,,,4.0,2.0,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.mariahmoorefornola.com/,Council,Open,Never-Held-Office,Lost,General,16520,1385,0.0838377724,,,#DIV/0!,Contacted,14.0,4.0,,2.0,,2.0,8,43,14,14,7,8,14.0,4.0,,2.0,,2.0,8,43,14,14,7,8,0,0,0.0,8.0,,,,5.0,,,,8.0,,,,5.0,,,,,,,8.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.runwithmurray.com/,Council,Open,Never-Held-Office,Lost,General,16520,377,0.02282082324,,,#DIV/0!,Contacted,,4.0,,2.0,,,4,8,1,4,3,0,,4.0,,2.0,,,4,8,1,4,3,0,0,0,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://kp4districtd.godaddysites.com/,Council,Open,Never-Held-Office,Lost,General,16520,224,0.01355932203,,,#DIV/0!,Not-Contacted,,3.0,10.0,6.0,,,3,138,7,3,9,119,,3.0,10.0,6.0,,,3,138,7,3,9,119,787,305,64.08,109.0,,,3.0,,,,,109.0,,,3.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.togetherwithtimolynn.com/,Council,Open,Never-Held-Office,Lost,General,16520,824,0.04987893462,,,#DIV/0!,Contacted,,66.0,,1.0,,36.0,6,106,0,102,4,0,,66.0,,1.0,,36.0,6,106,0,102,4,0,0,0,0.0,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.kourtneyyoungblood.com/,Council,Open,Never-Held-Office,Lost,General,16520,1279,0.07742130751,,,#DIV/0!,Contacted,3.0,127.0,,13.0,,28.0,16,194,5,155,28,6,3.0,127.0,,13.0,,28.0,16,194,5,155,28,6,0,0,0.0,6.0,,,,15.0,,,,6.0,,,,15.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.chelseaardoin.com/,Council,Open,Never-Held-Office,Lost,General,16520,1153,0.06979418886,,,#DIV/0!,Contacted,1.0,6.0,,,,1.0,4,9,1,7,1,0,1.0,6.0,,,,1.0,4,9,1,7,1,0,206,44,45.845000000000006,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.doby4districtd.com/,Council,Open,Never-Held-Office,Lost,General,16520,127,0.007687651332,,,#DIV/0!,Contacted,2.0,9.0,,13.0,4.0,30.0,9,67,13,39,13,2,2.0,9.0,,13.0,4.0,30.0,9,67,13,39,13,2,0,0,0.0,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,,6.0,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.votecopelin.com/,Council,Challenger,Never-Held-Office,Lost,General,14498,691,0.04766174645,,,#DIV/0!,Contacted,4.0,5.0,,,,,5,10,5,5,0,0,4.0,5.0,,,,,5,10,5,5,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.vanessaforcommunity.com/,Council,Challenger,Never-Held-Office,Lost,General,14498,544,0.03752241689,,,#DIV/0!,Contacted,1.0,88.0,,10.0,,21.0,6,125,3,109,13,0,1.0,88.0,,10.0,,21.0,6,125,3,109,13,0,0,0,0.0,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://electaaronmiller.org/,Council,Challenger,Never-Held-Office,Lost,General,14498,147,0.01013932956,,,#DIV/0!,Not-Contacted,2.0,,22.0,5.0,,,6,205,13,0,11,181,2.0,,22.0,5.0,,,6,205,13,0,11,181,0,0,0.0,159.0,,,6.0,,,,,159.0,,,6.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://olivermthomas.com/,Council,Challenger,Never-Held-Office,Won,General,14498,6486,0.4473720513,,,#DIV/0!,Contacted,4.0,41.0,,,,,4,55,0,51,0,4,4.0,46.0,,,,,4,61,0,57,0,4,1070,381,61.46249999999999,4.0,6.0,,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
