location,campaign_website_url,electoral_position,candidate_position,candidate_history,election_result,election_type,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,race_funding,candidate_funding,funding_share,contacted,error-type_label_pre,error-type_color-contrast_pre,error-type_duplicate-id_pre,error-type_heading-order_pre,error-type_button-name_pre,error-type_link-name_pre,number_of_pages_pre,number_of_total_errors_pre,number_of_critical_errors_pre,number_of_serious_errors_pre,number_of_moderate_errors_pre,number_of_minor_errors_pre,error-type_label_post,error-type_color-contrast_post,error-type_duplicate-id_post,error-type_heading-order_post,error-type_button-name_post,error-type_link-name_post,number_of_pages_post,number_of_total_errors_post,number_of_critical_errors_post,number_of_serious_errors_post,number_of_moderate_errors_post,number_of_minor_errors_post,number_of_words,number_of_unique_words,ease_of_reading,error-type_aria-allowed-role_pre,error-type_frame-title_pre,error-type_landmark-no-duplicate-banner_pre,error-type_region_pre,error-type_page-has-heading-one_pre,error-type_duplicate-id-aria_pre,error-type_empty-heading_pre,error-type_aria-valid-attr-value_pre,error-type_aria-allowed-role_post,error-type_frame-title_post,error-type_landmark-no-duplicate-banner_post,error-type_region_post,error-type_page-has-heading-one_post,error-type_duplicate-id-aria_post,error-type_empty-heading_post,error-type_aria-valid-attr-value_post,error-type_listitem_pre,error-type_aria-required-children_pre,error-type_landmark-banner-is-top-level_pre,error-type_tabindex_pre,error-type_autocomplete-valid_pre,error-type_label-title-only_pre,error-type_meta-viewport_pre,error-type_html-has-lang_pre,error-type_landmark-one-main_pre,error-type_image-redundant-alt_pre,error-type_bypass_pre,error-type_image-alt_pre,error-type_duplicate-id-active_pre,error-type_listitem_post,error-type_aria-required-children_post,error-type_image-redundant-alt_post,error-type_landmark-banner-is-top-level_post,error-type_tabindex_post,error-type_autocomplete-valid_post,error-type_label-title-only_post,error-type_meta-viewport_post,error-type_html-has-lang_post,error-type_landmark-one-main_post,error-type_image-alt_post,error-type_bypass_post,error-type_duplicate-id-active_post,error-type_checkboxgroup_pre,error-type_checkboxgroup_post,error-type_aria-valid-attr_pre,error-type_aria-valid-attr_post,error-type_aria-roles_pre,error-type_landmark-main-is-top-level_pre,error-type_aria-roles_post,error-type_landmark-main-is-top-level_post,error-type_landmark-no-duplicate-contentinfo_pre,error-type_frame-title-unique_pre,error-type_landmark-no-duplicate-contentinfo_post,error-type_frame-title-unique_post,error-type_skip-link_post,error-type_document-title_pre,error-type_document-title_post,error-type_skip-link_pre,error-type_scope-attr-valid_pre,error-type_scope-attr-valid_post,error-type_definition-list_pre,error-type_list_pre,error-type_definition-list_post,error-type_list_post,error-type_aria-allowed-attr_pre,error-type_aria-allowed-attr_post
"Seattle, WA",https://www.saraforcitycouncil.com/,Council,Open,Never-Held-Office,Won,General,193867,111107,0.5731093997,,,#DIV/0!,Contacted,1.0,,,14.0,,1.0,31,108,1,34,42,31,1.0,,,15.0,,1.0,31,109,1,34,43,31,8789,2161,42.41266666666665,31.0,1.0,,,28.0,,,,31.0,1.0,,,28.0,,,,,,,31.0,,,,,,,,,1.0,,,,,31.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle, WA",https://www.nikkitafornine.com/,Council,Open,Never-Held-Office,Lost,General,193867,82397,0.4250181826,,,#DIV/0!,Contacted,1.0,569.0,,6.0,,120.0,27,801,2,750,22,27,1.0,356.0,,5.0,,82.0,20,521,2,479,20,20,0,0,206.84000000000006,27.0,,,,16.0,,,,20.0,,,,15.0,,,,,,,27.0,,,,,,,,,34.0,,,,,20.0,,,,,,,,21.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.helenamorenola.com/,Council,Incumbent,In-Office,Won,General,73395,62064,0.8456161864,,,#DIV/0!,Not-Contacted,7.0,23.0,,1.0,,,4,43,7,27,4,5,7.0,23.0,,1.0,,,4,43,7,27,4,5,1030,418,49.587500000000006,4.0,,,,3.0,,1.0,,4.0,,,,3.0,,1.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://kennethcutno.com/,Council,Challenger,Never-Held-Office,Lost,General,73395,11331,0.1543838136,,,#DIV/0!,Contacted,,2.0,,6.0,,13.0,1,23,0,15,8,0,,2.0,,6.0,,13.0,1,23,0,15,8,0,399,189,43.19,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.votebrossett.com/,Council,Open,In-Office,Lost,General,73395,8169,0.1113018598,,,#DIV/0!,Contacted,57.0,67.0,26.0,12.0,19.0,110.0,19,376,76,179,57,64,57.0,67.0,26.0,12.0,19.0,110.0,19,376,76,179,57,64,0,0,206.84000000000006,38.0,2.0,19.0,1.0,6.0,,,,38.0,2.0,19.0,1.0,6.0,,,,,,19.0,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.jpmorrell.com/,Council,Open,In-Office,Won,General,73395,37161,0.5063151441,,,#DIV/0!,Contacted,7.0,,,143.0,,283.0,140,839,8,543,148,140,7.0,,,151.0,,301.0,149,892,8,578,157,149,68803,7036,28.38322147651007,140.0,11.0,,,5.0,,,,149.0,11.0,,,6.0,,,,,,,140.0,,,,,,,,1.0,109.0,,,,,149.0,,,,,,1.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.palmer4nola.com/,Council,Open,In-Office,Lost,General,73395,23252,0.316806322,,,#DIV/0!,Contacted,1.0,10.0,,1.0,,3.0,2,19,2,13,4,0,1.0,10.0,,1.0,,3.0,2,19,2,13,4,0,0,0,206.84,,,,2.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.joegiarrusso.com/,Council,Incumbent,In-Office,Won,General,16819,12848,0.7638979725,,,#DIV/0!,Contacted,,57.0,,1.0,,11.0,17,116,0,95,4,17,,58.0,,1.0,,11.0,18,127,0,104,5,18,3647,1065,39.477222222222224,17.0,1.0,,,3.0,,,,18.0,8.0,,,4.0,,,,,,,17.0,,,,,,,,,9.0,,,,,18.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.bob4districta.com/,Council,Challenger,Never-Held-Office,Lost,General,16819,2770,0.1646946905,,,#DIV/0!,Not-Contacted,,,,1.0,,27.0,9,337,70,99,23,145,,,,1.0,,27.0,9,337,70,99,23,145,2141,690,38.59222222222222,145.0,,9.0,9.0,4.0,15.0,,,145.0,,9.0,9.0,4.0,15.0,,,72.0,,,,,,9.0,,,,,37.0,,72.0,,,,,,,9.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
"New Orleans, LA",https://misko4citycouncil.org/,Council,Challenger,Never-Held-Office,Lost,General,16819,1201,0.07140733694,,,#DIV/0!,Contacted,1.0,3.0,,1.0,,1.0,3,18,1,4,1,12,1.0,3.0,,1.0,,1.0,3,18,1,4,1,12,0,0,0.0,12.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",https://www.votejayhbanks.com/,Council,Incumbent,In-Office,Won,General,13228,5896,0.4457211975,,,#DIV/0!,Contacted,123.0,276.0,,32.0,,411.0,29,1058,207,691,90,70,123.0,276.0,,32.0,,411.0,29,1061,207,693,90,71,783,23,74.69000000000004,70.0,2.0,,29.0,,,,,71.0,2.0,,29.0,,,,,2.0,,,,,,29.0,,29.0,,,55.0,,2.0,,,,,,,29.0,,29.0,55.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
"New Orleans, LA",https://www.lesliharris4nola.com/,Council,Challenger,Never-Held-Office,Won,General,13228,4850,0.3666465074,,,#DIV/0!,Contacted,,12.0,7.0,1.0,,21.0,6,57,1,33,7,16,,12.0,7.0,1.0,,21.0,6,57,1,33,7,16,3616,1319,28.889999999999997,9.0,,,1.0,3.0,,,,9.0,,,1.0,3.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
"New Orleans, LA",https://timothydavidray.com/,Council,Challenger,Never-Held-Office,Lost,General,13228,0,0.0,,,#DIV/0!,Contacted,17.0,51.0,,10.0,,3.0,19,180,38,54,10,78,17.0,51.0,,10.0,,3.0,19,180,38,54,10,78,5663,1436,60.5221052631579,76.0,,,,,,2.0,,76.0,,,,,,2.0,,,,,,,,19.0,,,,,,,,,,,,,,19.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
